17 Canis Majoris,392.90625,-69.84375,-308.03125
2MASS J08102318-4912086,1504.93750,-227.56250,-145.59375
2MASS J08103876-4856128,1652.75000,-244.71875,-165.84375
2MASS J10394153-5943250,8738.81250,-157.25000,2675.00000
2MASS J10433739-6005084,8597.00000,-168.25000,2731.37500
2MASS J10442850-5951550,8590.93750,-129.59375,2727.87500
2MASS J10451484-5943341,8611.21875,-103.37500,2737.78125
2MASS J10453957-5939240,8655.37500,-90.34375,2754.09375
2MASS J10454682-6003433,8603.31250,-145.43750,2770.90625
35 G. Ant,471.46875,195.59375,86.50000
35 G. Carinae,395.50000,-126.59375,-44.31250
44 G. Antlia,440.84375,122.09375,-1.43750
48 G. Carinae,454.68750,-133.46875,-28.87500
62 G. Canis Majoris,532.06250,-148.34375,-395.75000
68 G. Carinae,461.62500,-92.06250,-35.03125
70 G. Carinae,442.00000,-136.87500,48.68750
72 Columbae,790.71875,-393.18750,-483.28125
76 G. Carinae,641.06250,-146.25000,-6.21875
BD-12 2364,1042.87500,260.37500,-757.84375
Blaa Hypai AE-E c13-3,1220.78125,-692.53125,12298.46875
Blaa Hypai CN-I b26-0,1299.53125,-680.40625,12299.21875
Blaa Hypai CS-J b25-0,1257.71875,-744.15625,12277.28125
Blaa Hypai CZ-D c13-0,1229.28125,-711.43750,12309.15625
Blaa Hypai DD-I b26-0,1242.81250,-709.15625,12311.28125
Blaa Hypai DZ-D c13-1,1255.43750,-738.53125,12322.68750
Blaa Hypai GH-V e2-3,1280.25000,-757.28125,12286.46875
Blaa Hypai OK-E b28-0,1265.28125,-737.25000,12354.03125
Blaa Hypai OZ-O d6-16,1285.50000,-731.65625,12309.34375
Blaa Hypai OZ-O d6-32,1229.56250,-671.50000,12363.09375
Blaa Hypai OZ-O d6-33,1291.87500,-694.87500,12301.59375
Blaa Hypai PB-A b31-0,1239.50000,-642.56250,12398.03125
Blaa Hypai QU-O d6-15,1231.28125,-773.40625,12295.78125
Blaa Hypai RQ-K b25-0,1236.59375,-641.90625,12277.46875
Blaa Hypai SF-N d7-0,1285.50000,-705.00000,12377.50000
Blaa Hypai SF-N d7-34,1263.28125,-712.12500,12390.71875
Blaa Hypai WX-F c12-4,1245.09375,-678.78125,12292.62500
Blaa Hypai XR-I b26-0,1238.59375,-663.06250,12299.96875
Blaa Hypai YI-E c13-2,1229.37500,-654.90625,12334.65625
Blae Eork AT-J c25-6,8659.56250,-179.65625,2599.12500
Blae Eork AT-J c25-7,8662.00000,-184.21875,2601.68750
Blae Eork BS-I b56-0,8694.18750,-191.75000,2695.78125
Blae Eork GK-G c27-8,8681.84375,-116.18750,2668.65625
Blae Eork IP-H c26-5,8670.09375,-235.15625,2633.12500
Blae Eork IP-H c26-6,8673.03125,-236.78125,2634.65625
Blae Eork LE-N b54-1,8719.78125,-104.87500,2670.56250
Blae Eork ME-E d13-23,8654.31250,-75.15625,2647.37500
Blae Eork ML-E c28-0,8694.37500,-165.81250,2712.75000
Blae Eork MV-F c27-4,8659.12500,-242.62500,2678.28125
Blae Eork OW-C c29-0,8661.59375,-144.53125,2770.84375
Blae Eork PZ-D d13-13,8680.37500,-178.90625,2685.15625
Blae Eork PZ-D d13-14,8675.21875,-182.96875,2685.59375
Blae Eork PZ-D d13-18,8724.31250,-107.68750,2680.53125
Blae Eork PZ-D d13-2,8691.96875,-152.96875,2654.93750
Blae Eork PZ-D d13-8,8709.25000,-108.28125,2647.65625
Blae Eork RK-C d14-14,8703.40625,-103.03125,2722.34375
Blae Eork RK-C d14-15,8708.06250,-104.31250,2718.12500
Blae Eork RK-C d14-29,8677.90625,-93.40625,2741.87500
Blae Eork RU-D d13-0,8685.31250,-218.84375,2657.21875
Blae Eork RU-D d13-17,8675.50000,-238.50000,2655.62500
Blae Eork RU-D d13-20,8675.25000,-185.65625,2687.09375
Blae Eork TF-C d14-20,8676.68750,-143.68750,2760.81250
Blae Eork WU-O e6-5,8675.28125,-224.12500,2637.93750
Blae Hypue DA-P d6-11,1149.87500,-730.68750,12321.34375
Blae Hypue DA-P d6-2,1189.62500,-733.18750,12364.06250
Blae Hypue DA-P d6-21,1158.87500,-687.84375,12319.40625
Blae Hypue DA-P d6-3,1177.78125,-738.56250,12367.59375
Blae Hypue DA-P d6-33,1163.71875,-692.71875,12341.21875
Blae Hypue DK-E c13-4,1186.00000,-636.21875,12303.62500
Blae Hypue HG-N d7-16,1206.37500,-689.43750,12389.43750
Blae Hypue HG-N d7-43,1171.43750,-700.21875,12387.46875
Blae Hypue HQ-C c14-0,1200.18750,-637.59375,12363.84375
Blae Hypue MF-I b26-1,1179.93750,-722.46875,12297.87500
Blae Hypue XW-F b27-0,1199.93750,-782.37500,12319.21875
CD-48 3525,1605.59375,-248.71875,-153.53125
CD-48 3554,1407.43750,-211.09375,-139.28125
CD-48 3574,1415.71875,-209.81250,-127.43750
Chamaeleon Sector EL-Y d44,498.65625,-183.25000,267.90625
Chamaeleon Sector GW-W c1-8,485.12500,-149.75000,280.68750
Chamaeleon Sector HM-V c2-8,512.00000,-95.40625,308.75000
Chamaeleon Sector HR-V b2-4,481.84375,-157.00000,259.46875
Chamaeleon Sector IG-X b1-0,537.78125,-181.46875,239.59375
Chamaeleon Sector MC-V c2-0,555.96875,-167.50000,330.28125
Clookeou AM-N b52-1,-464.12500,-444.06250,12859.06250
Clookeou AN-I d10-76,-1128.12500,-463.31250,12681.18750
Clookeou AT-D c27-0,-622.28125,-703.68750,12926.00000
Clookeou BD-E c27-5,-405.15625,-609.15625,12917.06250
Clookeou BH-B d14-27,-429.43750,-575.21875,12985.12500
Clookeou BM-B d14-188,-304.31250,-440.43750,12971.12500
Clookeou BN-F c26-1,-402.50000,-690.46875,12878.12500
Clookeou BR-C d13-2,-411.31250,-735.18750,12884.37500
Clookeou BR-C d13-23,-388.50000,-668.09375,12878.15625
Clookeou BR-C d13-28,-410.46875,-740.96875,12873.21875
Clookeou BR-C d13-35,-459.09375,-666.46875,12870.09375
Clookeou BR-C d13-42,-420.53125,-674.15625,12903.40625
Clookeou BR-C d13-43,-426.12500,-688.06250,12901.09375
Clookeou BR-C d13-46,-429.18750,-695.87500,12876.65625
Clookeou BR-C d13-51,-445.12500,-703.09375,12920.12500
Clookeou BR-C d13-53,-453.81250,-704.62500,12892.46875
Clookeou BR-C d13-55,-399.75000,-707.78125,12911.25000
Clookeou BR-C d13-59,-452.78125,-705.12500,12889.18750
Clookeou BR-C d13-6,-423.78125,-684.75000,12875.90625
Clookeou BR-C d13-78,-387.56250,-719.93750,12892.65625
Clookeou BR-C d13-79,-391.46875,-666.81250,12880.09375
Clookeou BR-C d13-88,-446.78125,-734.56250,12866.06250
Clookeou BR-C d13-95,-394.03125,-701.18750,12924.15625
Clookeou CC-B d14-10,-532.53125,-587.21875,12949.15625
Clookeou CC-B d14-113,-529.68750,-614.65625,12999.71875
Clookeou CC-B d14-26,-499.37500,-613.96875,12960.31250
Clookeou CC-B d14-63,-517.87500,-628.93750,12986.87500
Clookeou CC-B d14-7,-532.62500,-629.21875,12991.40625
Clookeou CD-A d14-24,-1280.84375,-1038.43750,12995.00000
Clookeou CD-A d14-4,-1296.06250,-991.37500,12988.18750
Clookeou CI-F c26-2,-433.65625,-735.06250,12876.28125
Clookeou CI-F c26-9,-434.78125,-725.68750,12866.03125
Clookeou DC-B d14-32,-458.84375,-588.81250,12939.96875
Clookeou DI-F c26-3,-403.37500,-712.56250,12891.96875
Clookeou DJ-C c28-2,-498.40625,-599.12500,12939.18750
Clookeou DT-G d11-2,-1190.28125,-452.37500,12770.87500
Clookeou DT-G d11-37,-1214.34375,-447.34375,12765.65625
Clookeou DT-G d11-84,-1239.31250,-442.25000,12771.96875
Clookeou EB-I b54-5,-415.12500,-633.81250,12908.65625
Clookeou EC-B d14-69,-361.59375,-651.65625,13005.71875
Clookeou FD-H d11-33,-742.15625,-320.18750,12726.56250
Clookeou FI-I d10-53,-873.96875,-521.06250,12615.56250
Clookeou FJ-C c28-30,-417.46875,-621.53125,12965.68750
Clookeou FS-I d10-115,-580.75000,-415.81250,12675.12500
Clookeou FS-I d10-16,-568.40625,-412.18750,12679.12500
Clookeou GF-C d14-52,-1285.40625,-138.96875,12994.12500
Clookeou GO-D c27-4,-435.93750,-708.46875,12915.34375
Clookeou GO-L b52-1,-742.65625,-643.15625,12860.84375
Clookeou GY-E b55-2,-735.09375,-766.43750,12918.37500
Clookeou HE-E d13-378,-783.40625,-93.12500,12876.75000
Clookeou HI-I d10-17,-774.90625,-552.00000,12617.62500
Clookeou HI-I d10-41,-778.81250,-533.87500,12616.06250
Clookeou HI-I d10-42,-780.25000,-526.00000,12619.56250
Clookeou HJ-G d11-38,-1229.31250,-601.65625,12767.40625
Clookeou HP-A c29-10,-488.12500,-609.00000,12988.25000
Clookeou HX-E b56-1,-438.71875,-597.71875,12940.37500
Clookeou IA-R c20-10,-833.09375,-496.31250,12617.59375
Clookeou IX-L c23-5,-1233.56250,-446.46875,12757.43750
Clookeou JL-S b48-2,-398.06250,-660.09375,12781.50000
Clookeou JP-A c29-25,-417.25000,-589.34375,12988.43750
Clookeou KK-A c29-11,-445.25000,-635.62500,12976.15625
Clookeou KM-E b59-32,-1130.25000,-78.25000,13001.37500
Clookeou KQ-N b52-3,-734.65625,-417.15625,12857.62500
Clookeou KY-H d10-39,-855.93750,-703.09375,12642.96875
Clookeou LL-X b46-0,-922.50000,-500.09375,12736.62500
Clookeou MJ-G d11-38,-852.71875,-628.12500,12753.18750
Clookeou ML-K b55-15,-498.00000,-199.93750,12916.84375
Clookeou MO-G d11-53,-671.71875,-514.75000,12764.09375
Clookeou MZ-D d13-352,-529.21875,-135.09375,12886.18750
Clookeou MZ-E d12-15,-807.81250,-464.84375,12851.78125
Clookeou ND-S e4-10,-859.84375,-477.62500,12619.12500
Clookeou NE-D b56-4,-683.00000,-779.00000,12947.00000
Clookeou NQ-B d14-108,-1197.59375,-400.25000,13006.34375
Clookeou OE-B b58-1,-487.90625,-619.25000,12977.93750
Clookeou OP-A c29-25,-223.03125,-615.84375,12978.15625
Clookeou OV-H c25-21,-510.56250,-556.31250,12816.37500
Clookeou OY-R e4-20,-921.37500,-549.06250,12693.68750
Clookeou QG-Q c20-2,-842.50000,-626.46875,12616.78125
Clookeou QK-D d13-66,-631.34375,-422.43750,12920.34375
Clookeou QT-C b57-4,-408.75000,-633.06250,12968.28125
Clookeou QY-V b58-2,-1249.06250,-974.78125,12999.59375
Clookeou RE-B b58-0,-441.84375,-620.96875,12977.53125
Clookeou RK-D d13-38,-560.12500,-416.78125,12913.09375
Clookeou RW-E c27-23,-492.81250,-441.81250,12924.62500
Clookeou SK-I b41-1,-728.81250,-445.37500,12629.87500
Clookeou SU-E d12-28,-514.37500,-518.43750,12842.34375
Clookeou TF-E d12-35,-871.68750,-760.15625,12834.34375
Clookeou TL-B d14-200,-919.78125,-458.37500,12955.93750
Clookeou TL-C d13-0,-1259.53125,-814.40625,12857.46875
Clookeou UF-D d13-54,-510.87500,-434.40625,12870.62500
Clookeou UL-B d14-186,-796.09375,-495.46875,12947.00000
Clookeou UL-H b41-1,-901.62500,-548.53125,12617.81250
Clookeou UT-I c25-22,-924.00000,-376.00000,12854.00000
Clookeou YC-E c27-2,-541.25000,-586.90625,12928.25000
Clookeou YR-F c26-2,-459.81250,-647.15625,12870.40625
Clookeou ZK-O e6-13,-508.81250,-589.43750,12895.46875
Clookeou ZK-O e6-17,-535.25000,-591.43750,12928.28125
Clookeou ZK-O e6-19,-520.84375,-596.28125,12961.84375
Clookeou ZK-O e6-6,-455.00000,-629.25000,12977.90625
Clookeou ZV-C d13-0,-430.12500,-600.53125,12934.93750
Clookeou ZV-C d13-19,-457.15625,-599.43750,12880.71875
Clookeou ZV-C d13-23,-423.65625,-649.34375,12903.18750
Clookeou ZV-C d13-24,-463.37500,-645.62500,12861.93750
Clookeou ZV-C d13-25,-450.56250,-640.68750,12924.25000
Clookeou ZV-C d13-28,-388.09375,-602.40625,12888.12500
Clookeou ZV-C d13-29,-401.84375,-607.40625,12879.28125
Clookeou ZV-C d13-30,-437.75000,-601.28125,12930.71875
Clookeou ZV-C d13-42,-427.75000,-651.06250,12860.75000
Clookeou ZV-C d13-6,-431.46875,-607.81250,12916.68750
Clookie AB-D d13-83,-1442.03125,-510.18750,12934.84375
Clookie DG-O e6-4,-1423.28125,-745.37500,12954.50000
Clookie DG-O e6-6,-1421.28125,-796.06250,12972.03125
Clookie EO-F b55-3,-1424.46875,-714.71875,12919.75000
Clookie FH-B d14-43,-1367.84375,-517.40625,12987.71875
Clookie FR-C d13-100,-1365.68750,-742.43750,12916.37500
Clookie FR-C d13-81,-1415.81250,-691.03125,12929.96875
Clookie HM-C d13-1,-1352.93750,-748.90625,12919.18750
Clookie HM-C d13-13,-1369.37500,-818.84375,12904.40625
Clookie HM-C d13-22,-1353.06250,-787.25000,12890.37500
Clookie HM-C d13-40,-1371.56250,-796.25000,12919.31250
Clookie HM-C d13-55,-1394.34375,-751.15625,12898.62500
Clookie HM-C d13-77,-1355.81250,-759.21875,12867.25000
Clookie HM-C d13-84,-1353.68750,-770.65625,12897.40625
Clookie KS-A d14-103,-1428.68750,-784.56250,13005.50000
Clookie KS-A d14-5,-1425.25000,-802.50000,12966.53125
Clookie LS-A d14-13,-1345.34375,-786.59375,12987.59375
Clookie LS-A d14-19,-1392.56250,-781.03125,13009.46875
Clookie LS-A d14-20,-1402.40625,-780.03125,12991.31250
Clookie LS-A d14-21,-1414.96875,-793.68750,12993.84375
Clookie LS-A d14-29,-1405.21875,-784.37500,12982.21875
Clookie LS-A d14-32,-1383.15625,-753.93750,12963.28125
Clookie LS-A d14-35,-1391.68750,-803.21875,13013.68750
Clookie LS-A d14-4,-1398.40625,-797.15625,12957.50000
Clookie LS-A d14-46,-1394.65625,-786.81250,12982.65625
Clookie LS-A d14-55,-1401.46875,-819.40625,12967.03125
Clookie LS-A d14-56,-1376.53125,-769.43750,12960.56250
Clookie LS-A d14-6,-1382.59375,-809.56250,12955.78125
Clookie LS-A d14-65,-1403.21875,-748.03125,12964.78125
Clookie LS-A d14-66,-1395.12500,-757.37500,12964.87500
Clookie LS-A d14-77,-1420.15625,-782.62500,13003.06250
Clookie LS-A d14-8,-1401.06250,-770.59375,12946.46875
Clookie LS-A d14-9,-1400.43750,-780.96875,12945.96875
Clookie LS-A d14-97,-1378.43750,-797.46875,12949.15625
Clookie NK-D b56-4,-1404.28125,-759.12500,12949.71875
Clookie RU-B c28-2,-1433.96875,-708.28125,12945.25000
Clookie TV-C b56-3,-1398.37500,-805.43750,12953.46875
Clookie UP-B c28-7,-1388.21875,-753.03125,12961.78125
Clookie WG-B b57-2,-1377.96875,-791.43750,12968.81250
Coalsack Dark Region EL-Y d111,521.46875,-48.00000,265.87500
Coalsack Dark Region GB-X c1-32,511.21875,-8.09375,229.40625
Coalsack Dark Region KH-V c2-14,528.00000,-1.87500,285.87500
Coalsack Dark Region UT-Q b5-8,536.93750,17.43750,292.15625
Coalsack Dark Region WO-A c29,448.40625,-13.62500,163.87500
Coalsack Sector EL-Y d121,477.21875,13.25000,231.28125
Coalsack Sector NC-V c2-9,498.90625,-3.87500,268.25000
Col 132 Sector AB-O d6-10,1133.28125,-434.15625,-573.71875
Col 132 Sector AB-O d6-12,1107.71875,-431.34375,-576.43750
Col 132 Sector AB-O d6-13,1094.90625,-434.46875,-571.93750
Col 132 Sector AG-N d7-1,1557.53125,-60.59375,-426.87500
Col 132 Sector AG-N d7-84,1567.65625,-97.03125,-464.12500
Col 132 Sector AH-L d8-37,1085.09375,-115.37500,-402.56250
Col 132 Sector AH-L d8-83,1106.37500,-107.37500,-410.06250
Col 132 Sector AI-C b29-0,1555.06250,-126.71875,-496.68750
Col 132 Sector AM-K c9-8,1250.50000,-223.46875,-708.37500
Col 132 Sector AM-S b34-0,1244.53125,-56.56250,-381.78125
Col 132 Sector AM-S b34-7,1251.18750,-57.03125,-383.25000
